Rep,Trtmt,Tray,Row,Col,Survival,HvstDate,Lvs,WetWt,DryWt,WaterWt,Wilting,EstMeanLWt,EstMeanLDWt,EstMeanLWat
1,0,1,1,1,1,18-Sep-16,5,12.01,1.64,10.37,,2.40,0.33,2.07
1,0,1,1,2,1,18-Sep-16,5,6.58,0.89,5.69,,1.32,0.18,1.14
1,0,1,1,3,1,18-Sep-16,5,6.06,0.85,5.21,,1.21,0.17,1.04
1,0,1,1,4,1,18-Sep-16,4,7.23,0.97,6.26,,1.81,0.24,1.57
1,0,1,2,1,1,18-Sep-16,6,6.16,0.66,5.50,,1.03,0.11,0.92
1,0,1,2,2,1,18-Sep-16,6,8.70,1.10,7.60,,1.45,0.18,1.27
1,0,1,2,3,1,18-Sep-16,6,8.86,1.28,7.58,,1.48,0.21,1.26
1,0,1,2,4,1,18-Sep-16,5,6.91,0.98,5.93,,1.38,0.20,1.19
1,0,1,3,1,1,18-Sep-16,6,8.96,1.27,7.69,,1.49,0.21,1.28
1,0,1,3,2,1,18-Sep-16,5,8.35,0.94,7.41,,1.67,0.19,1.48
1,0,1,3,3,1,18-Sep-16,5,6.25,0.85,5.40,,1.25,0.17,1.08
1,0,1,3,4,1,18-Sep-16,5,8.79,1.27,7.52,,1.76,0.25,1.50
1,0,1,4,1,1,18-Sep-16,6,10.72,1.22,9.50,,1.79,0.20,1.58
1,0,1,4,2,1,18-Sep-16,4,9.56,1.09,8.47,,2.39,0.27,2.12
1,0,1,4,3,1,18-Sep-16,5,7.21,0.91,6.30,,1.44,0.18,1.26
1,0,1,4,4,1,18-Sep-16,4,6.38,0.72,5.66,,1.60,0.18,1.42
1,0,1,5,1,1,18-Sep-16,6,9.71,1.28,8.43,,1.62,0.21,1.41
1,0,1,5,2,1,18-Sep-16,6,8.88,1.04,7.84,,1.48,0.17,1.31
1,0,1,5,3,1,18-Sep-16,5,8.00,0.98,7.02,,1.60,0.20,1.40
1,0,1,5,4,1,18-Sep-16,5,10.06,1.45,8.61,,2.01,0.29,1.72
1,0,1,6,1,1,18-Sep-16,6,7.16,0.83,6.33,,1.19,0.14,1.06
1,0,1,6,2,1,18-Sep-16,5,10.55,1.39,9.16,,2.11,0.28,1.83
1,0,1,6,3,1,18-Sep-16,8,7.47,0.80,6.67,,0.93,0.10,0.83
1,0,1,6,4,1,18-Sep-16,4,6.69,0.78,5.91,,1.67,0.20,1.48
1,0,1,7,1,1,18-Sep-16,6,9.50,1.07,8.43,,1.58,0.18,1.41
1,0,1,7,2,1,18-Sep-16,7,11.94,1.52,10.42,,1.71,0.22,1.49
1,0,1,7,3,1,18-Sep-16,4,7.01,0.91,6.10,,1.75,0.23,1.53
1,0,1,7,4,1,18-Sep-16,6,9.98,1.39,8.59,,1.66,0.23,1.43
1,0,1,8,1,1,18-Sep-16,4,7.70,1.13,6.57,,1.93,0.28,1.64
1,0,1,8,2,1,18-Sep-16,6,7.54,0.91,6.63,,1.26,0.15,1.11
1,0,1,8,3,1,18-Sep-16,5,9.00,1.19,7.81,,1.80,0.24,1.56
1,0,1,8,4,1,18-Sep-16,4,6.84,0.89,5.95,,1.71,0.22,1.49
1,0,1,9,1,1,18-Sep-16,6,11.88,1.79,10.09,,1.98,0.30,1.68
1,0,1,9,2,1,18-Sep-16,6,6.43,0.84,5.59,,1.07,0.14,0.93
1,0,1,9,3,1,18-Sep-16,5,7.35,0.88,6.47,,1.47,0.18,1.29
1,0,1,9,4,1,18-Sep-16,5,6.75,1.00,5.75,,1.35,0.20,1.15
1,0,1,10,1,1,18-Sep-16,5,5.09,0.70,4.39,,1.02,0.14,0.88
1,0,1,10,2,1,18-Sep-16,5,7.39,1.03,6.36,,1.48,0.21,1.27
1,0,1,10,3,1,18-Sep-16,5,6.78,0.98,5.80,,1.36,0.20,1.16
1,0,1,10,4,1,18-Sep-16,4,6.90,0.95,5.95,,1.73,0.24,1.49
1,0,2,1,1,1,14-Sep-16,4,6.55,0.63,5.92,,1.64,0.16,1.48
1,0,2,1,2,1,14-Sep-16,4,8.14,0.83,7.31,,2.04,0.21,1.83
1,0,2,1,3,1,14-Sep-16,6,9.51,0.92,8.59,,1.59,0.15,1.43
1,0,2,1,4,1,14-Sep-16,4,5.13,0.62,4.51,,1.28,0.16,1.13
1,0,2,2,1,1,14-Sep-16,7,9.21,1.02,8.19,,1.32,0.15,1.17
1,0,2,2,2,1,14-Sep-16,6,10.46,1.13,9.33,,1.74,0.19,1.56
1,0,2,2,3,1,14-Sep-16,5,8.76,0.90,7.86,,1.75,0.18,1.57
1,0,2,2,4,1,14-Sep-16,5,7.83,0.65,7.18,,1.57,0.13,1.44
1,0,2,3,1,1,14-Sep-16,5,7.33,0.99,6.34,,1.47,0.20,1.27
1,0,2,3,2,1,14-Sep-16,6,8.89,0.75,8.14,,1.48,0.13,1.36
1,0,2,3,3,1,14-Sep-16,4,8.61,1.00,7.61,,2.15,0.25,1.90
1,0,2,3,4,1,14-Sep-16,5,9.18,1.05,8.13,,1.84,0.21,1.63
1,0,2,4,1,1,14-Sep-16,6,8.18,0.83,7.35,,1.36,0.14,1.23
1,0,2,4,2,1,14-Sep-16,4,9.02,1.38,7.64,,2.26,0.35,1.91
1,0,2,4,3,1,14-Sep-16,4,8.40,0.92,7.48,,2.10,0.23,1.87
1,0,2,4,4,1,14-Sep-16,5,9.18,0.98,8.20,,1.84,0.20,1.64
1,0,2,5,1,1,14-Sep-16,5,8.48,1.00,7.48,,1.70,0.20,1.50
1,0,2,5,2,1,14-Sep-16,4,4.83,0.45,4.38,,1.21,0.11,1.10
1,0,2,5,3,1,14-Sep-16,5,11.30,1.31,9.99,,2.26,0.26,2.00
1,0,2,5,4,1,14-Sep-16,4,7.59,0.89,6.70,,1.90,0.22,1.68
1,0,2,6,1,1,14-Sep-16,5,7.45,1.08,6.37,,1.49,0.22,1.27
1,0,2,6,2,1,14-Sep-16,4,7.24,0.94,6.30,,1.81,0.24,1.58
1,0,2,6,3,1,14-Sep-16,4,7.46,1.00,6.46,,1.87,0.25,1.62
1,0,2,6,4,1,14-Sep-16,4,7.90,0.90,7.00,,1.98,0.23,1.75
1,0,2,7,1,1,14-Sep-16,4,6.49,0.79,5.70,,1.62,0.20,1.43
1,0,2,7,2,1,14-Sep-16,6,8.41,1.03,7.38,,1.40,0.17,1.23
1,0,2,7,3,1,14-Sep-16,5,8.81,0.71,8.10,,1.76,0.14,1.62
1,0,2,7,4,1,14-Sep-16,5,6.78,0.89,5.89,,1.36,0.18,1.18
1,0,2,8,1,1,14-Sep-16,4,5.10,0.71,4.39,,1.28,0.18,1.10
1,0,2,8,2,1,14-Sep-16,4,6.39,0.77,5.62,,1.60,0.19,1.41
1,0,2,8,3,1,14-Sep-16,4,8.22,0.96,7.26,,2.06,0.24,1.82
1,0,2,8,4,1,14-Sep-16,5,8.28,1.00,7.28,,1.66,0.20,1.46
1,0,2,9,1,1,14-Sep-16,5,7.23,1.18,6.05,,1.45,0.24,1.21
1,0,2,9,2,1,14-Sep-16,5,7.91,1.03,6.88,,1.58,0.21,1.38
1,0,2,9,3,1,14-Sep-16,5,8.51,1.02,7.49,,1.70,0.20,1.50
1,0,2,9,4,1,14-Sep-16,6,7.82,0.94,6.88,,1.30,0.16,1.15
1,0,2,10,1,1,14-Sep-16,3,4.21,0.66,3.55,,1.40,0.22,1.18
1,0,2,10,2,1,14-Sep-16,3,5.54,0.81,4.73,,1.85,0.27,1.58
1,0,2,10,3,1,14-Sep-16,5,6.43,0.78,5.65,,1.29,0.16,1.13
1,0,2,10,4,1,14-Sep-16,5,5.51,0.76,4.75,,1.10,0.15,0.95
1,0,3,1,1,1,13-Sep-16,5,7.23,0.70,6.53,,1.45,0.14,1.31
1,0,3,1,2,1,13-Sep-16,6,9.35,1.13,8.22,,1.56,0.19,1.37
1,0,3,1,3,1,13-Sep-16,5,7.97,0.75,7.22,,1.59,0.15,1.44
1,0,3,1,4,1,13-Sep-16,5,7.58,0.76,6.82,,1.52,0.15,1.36
1,0,3,2,1,1,13-Sep-16,4,6.87,0.71,6.16,,1.72,0.18,1.54
1,0,3,2,2,1,13-Sep-16,4,7.79,0.88,6.91,,1.95,0.22,1.73
1,0,3,2,3,1,13-Sep-16,6,5.82,0.59,5.23,,0.97,0.10,0.87
1,0,3,2,4,1,13-Sep-16,4,7.93,1.05,6.88,,1.98,0.26,1.72
1,0,3,3,1,1,13-Sep-16,5,11.70,1.31,10.39,,2.34,0.26,2.08
1,0,3,3,2,1,13-Sep-16,5,6.85,0.66,6.19,,1.37,0.13,1.24
1,0,3,3,3,1,13-Sep-16,6,10.21,0.74,9.47,,1.70,0.12,1.58
1,0,3,3,4,1,13-Sep-16,5,10.40,1.39,9.01,,2.08,0.28,1.80
1,0,3,4,1,1,13-Sep-16,4,10.82,1.28,9.54,,2.71,0.32,2.39
1,0,3,4,2,1,13-Sep-16,5,7.45,0.76,6.69,,1.49,0.15,1.34
