"Rep","Trtmt","Tray","Row","Col","Survival","HvstDate","Lvs","WetWt","DryWt","WaterWt","Wilting","EstMeanLWt","EstMeanLDWt","EstMeanLWat"
"3","0","1","1","1","1",2016-09-24,5,7.76,0.77,6.99,NA,1.55,0.15,1.4
"3","0","1","1","2","1",2016-09-24,5,7.9,0.92,6.98,NA,1.58,0.18,1.4
"3","0","1","1","3","1",2016-09-24,6,10.62,0.87,9.75,NA,1.77,0.15,1.63
"3","0","1","1","4","1",2016-09-24,4,7.52,0.83,6.69,NA,1.88,0.21,1.67
"3","0","1","2","1","1",2016-09-24,4,6.82,0.81,6.01,NA,1.71,0.2,1.5
"3","0","1","2","2","1",2016-09-24,7,10.69,0.99,9.7,NA,1.53,0.14,1.39
"3","0","1","2","3","1",2016-09-24,6,10.97,1.02,9.95,NA,1.83,0.17,1.66
"3","0","1","2","4","1",2016-09-24,5,8.28,0.65,7.63,NA,1.66,0.13,1.53
"3","0","1","3","1","1",2016-09-24,4,6.73,0.72,6.01,NA,1.68,0.18,1.5
"3","0","1","3","2","1",2016-09-24,5,11.72,0.98,10.74,NA,2.34,0.2,2.15
"3","0","1","3","3","1",2016-09-24,6,10.21,0.93,9.28,NA,1.7,0.16,1.55
"3","0","1","3","4","1",2016-09-24,6,9.44,0.86,8.58,NA,1.57,0.14,1.43
"3","0","1","4","1","1",2016-09-24,4,6.37,0.74,5.63,NA,1.59,0.19,1.41
"3","0","1","4","2","1",2016-09-24,5,11.19,0.85,10.34,NA,2.24,0.17,2.07
"3","0","1","4","3","1",2016-09-24,5,9.98,1.04,8.94,NA,2,0.21,1.79
"3","0","1","4","4","1",2016-09-24,6,9.38,0.67,8.71,NA,1.56,0.11,1.45
"3","0","1","5","1","1",2016-09-24,6,7.75,0.5,7.25,NA,1.29,0.08,1.21
"3","0","1","5","2","1",2016-09-24,4,9.37,0.78,8.59,NA,2.34,0.2,2.15
"3","0","1","5","3","1",2016-09-24,6,9.66,0.59,9.07,NA,1.61,0.1,1.51
"3","0","1","5","4","1",2016-09-24,4,7.36,0.7,6.66,NA,1.84,0.18,1.67
"3","0","1","6","1","1",2016-09-24,5,7.72,0.7,7.02,NA,1.54,0.14,1.4
"3","0","1","6","2","1",2016-09-24,6,9.04,0.59,8.45,NA,1.51,0.1,1.41
"3","0","1","6","3","1",2016-09-24,6,14.43,1.16,13.27,NA,2.41,0.19,2.21
"3","0","1","6","4","1",2016-09-24,5,8.73,0.8,7.93,NA,1.75,0.16,1.59
"3","0","1","7","1","1",2016-09-24,7,8.49,0.68,7.81,NA,1.21,0.1,1.12
"3","0","1","7","2","1",2016-09-24,5,8.1,0.69,7.41,NA,1.62,0.14,1.48
